Week,Class,Date,Contents,Deliverables
1,1,Mo Aug 27,Formula and Functions,Textbook & Software
,2,We Aug 29,Formula and Functions,
2,3,Mo Sep 3,Formula and Functions,
,4,We Sep 5,Charts,
3,5,Mo Sep 10,Charts,
,6,We Sep 12,"Subtotals, PivotTables, PivotCharts",
4,7,Mo Sep 17,"Subtotals, PivotTables, PivotCharts",Assignment 1 Due
,8,We Sep 19,"Subtotals, PivotTables, PivotCharts",
5,9,Mo Sep 24,Specialized Functions,
,10,We Sep 26,Specialized Functions,
6,11,Mo Oct 1,"Templates, Styles, and Macros",
,12,We Oct 3,"Templates, Styles, and Macros",
7,13,Mo Oct 8,Review for Mid-term,
,14,We Oct 10,Mid-term,
8,15,Mo Oct 15,Introduction to Access,
,,Tu Oct 16,CIMBA 5:30-8:00 pm,"Sign-in, Sign-out"
,16,We Oct 17,Introduction to Access,
9,17,Mo Oct 22,Rational Databases,
,18,We Oct 24,Rational Databases,
10,19,Mo Oct 29,Select Queries,
,20,We Oct 31,Select Queries,
11,21,Mo Nov 5,Select Queries,
,22,We Nov 7,Select Queries,
12,23,Mo Nov 12,Data Validation and Data Analysis,Assignment 2 Due
,24,We Nov 14,Data Validation and Data Analysis,
13,,Mo Nov 19,,Thanksgiving
,,We Nov 21,,Thanksgiving
14,25,Mo Nov 26,Action Queries,
,26,We Nov 28,Action Queries,
15,27,Mo Dec 3,Database Theories,
,30,We Dec 5,Review for Final,
16,,,Final Exam (TBA),
,,,,
